행정동,도로명주소,지번주소,위도,경도,데이터기준일자
가산동,서울특별시 금천구 벚꽃로56길8(1),서울특별시 금천구 가산동 4-22,37.4851819,126.8814385,2024-01-04
가산동,서울특별시 금천구 벚꽃로56길8(2),서울특별시 금천구 가산동 4-22,37.4851819,126.8814385,2024-01-04
가산동,서울특별시 금천구 벚꽃로340-3,서울특별시 금천구 가산동 5-35,37.4846973,126.8816492,2024-01-04
가산동,서울특별시 금천구 벚꽃로56길32,서울특별시 금천구 가산동 32-25,37.4844526,126.8824444,2024-01-04
가산동,서울특별시 금천구 벚꽃로328,서울특별시 금천구 가산동 32-60,37.4837832,126.8821717,2024-01-04
가산동,서울특별시 금천구 벚꽃로38길 39,서울특별시 금천구 가산동 83-11,37.482682,126.8848226,2024-01-04
가산동,서울특별시 금천구 가산로9길9,서울특별시 금천구 가산동 144-4,37.4768155,126.8914558,2024-01-04
가산동,서울특별시 금천구 가산로99(1),서울특별시 금천구 가산동 769 두산위브아파트,37.4744482,126.8926779,2024-01-04
가산동,서울특별시 금천구 가산로99(2),서울특별시 금천구 가산동 769 두산위브아파트,37.4744482,126.8926779,2024-01-04
가산동,서울특별시 금천구 가산로91,서울특별시 금천구 가산동 153-6,37.4740547,126.8939499,2024-01-04
가산동,서울특별시 금천구 가산로100,서울특별시 금천구 가산동 150-8 서울탁주구로연합제조장,37.4749667,126.8941626,2024-01-04
가산동,서울특별시 금천구 남부순환로1268,서울특별시 금천구 가산동 142-19,37.4788005,126.8917431,2024-01-04
가산동,서울특별시 금천구 남부순환로108길11-15,서울특별시 금천구 가산동 146-73,37.4778506,126.8932608,2024-01-04
가산동,서울특별시 금천구 남부순환로1284,서울특별시 금천구 가산동 146-78 동양제과(주)시흥DC장,37.4782381,126.8932664,2024-01-04
가산동,서울특별시 금천구 남부순환로1298,서울특별시 금천구 가산동 146-2,37.4782712,126.8948714,2024-01-04
가산동,서울특별시 금천구 시흥대로145길67,서울특별시 금천구 가산동 150-15 G밸리 하우스,37.4753712,126.8940549,2024-01-04
가산동,서울특별시 금천구 시흥대로149가길6,서울특별시 금천구 가산동 148-11 가산매봉노인정,37.4756197,126.8955775,2024-01-04
가산동,서울특별시 금천구 시흥대로149길 36,서울특별시 금천구 독산동 147-48,37.4753529,126.8959545,2024-01-04
가산동,서울특별시 금천구 시흥대로151길39,서울특별시 금천구 가산동 148-6,37.4762201,126.8961905,2024-01-04
가산동,서울특별시 금천구 시흥대로153길53,서울특별시 금천구 가산동 148-28 가산동 공영주차장,37.476674,126.8955846,2024-01-04
가산동,서울특별시 금천구 가산로5길15,서울특별시 금천구 가산동 234-41 가산더블레스,37.4734398,126.8937216,2024-01-04
가산동,서울특별시 금천구 가산로5 길무아래공원,서울특별시 금천구 독산동 199-15,37.470788,126.902115,2024-01-04
